T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.6800,7.52337147e-01,8.73907343e+00,8.73907343e+00,9.30524734e-01,1.08088827e+01,1.08088827e+01,1.50910700e-01,1.75296367e+00,1.75296367e+00,8.36700857e-01,7.60568426e-01,9.40705554e-01,8.45855155e-01
0.6900,6.81394595e-01,8.15082944e+00,8.15082944e+00,8.43325593e-01,1.00878450e+01,1.00878450e+01,1.38855348e-01,1.66098508e+00,1.66098508e+00,7.58048482e-01,6.88960547e-01,8.52689567e-01,7.66465570e-01
0.7000,6.26923706e-01,7.71943660e+00,7.71943660e+00,7.56317818e-01,9.31269211e+00,9.31269211e+00,1.25733581e-01,1.54818265e+00,1.54818265e+00,6.88588099e-01,6.33986856e-01,7.64838769e-01,6.96345982e-01
0.7100,6.11037016e-01,7.74156838e+00,7.74156838e+00,6.82727002e-01,8.64984876e+00,8.64984876e+00,1.19763817e-01,1.51735452e+00,1.51735452e+00,6.45888125e-01,6.18020650e-01,6.90529992e-01,6.53270077e-01
0.7200,5.94222036e-01,7.74334124e+00,7.74334124e+00,6.22125995e-01,8.10695932e+00,8.10695932e+00,1.11032778e-01,1.44687446e+00,1.44687446e+00,6.08013960e-01,6.01110252e-01,6.29337674e-01,6.15062052e-01
0.7300,5.71225864e-01,7.65311365e+00,7.65311365e+00,5.69211606e-01,7.62612723e+00,7.62612723e+00,1.03680730e-01,1.38908348e+00,1.38908348e+00,5.70217846e-01,5.77940557e-01,5.75902622e-01,5.76920689e-01
0.7400,5.47691877e-01,7.54143960e+00,7.54143960e+00,5.21834015e-01,7.18538994e+00,7.18538994e+00,1.00046349e-01,1.37758752e+00,1.37758752e+00,5.34606632e-01,5.54219175e-01,5.28053143e-01,5.40977982e-01
0.7500,5.05939307e-01,7.15723729e+00,7.15723729e+00,4.80310359e-01,6.79467905e+00,6.79467905e+00,9.88387273e-02,1.39821559e+00,1.39821559e+00,4.92958305e-01,5.12051471e-01,4.86112904e-01,4.98913648e-01
0.7600,4.81662092e-01,6.99784116e+00,6.99784116e+00,4.61104390e-01,6.69916801e+00,6.69916801e+00,9.93411725e-02,1.44328100e+00,1.44328100e+00,4.71271159e-01,4.87559502e-01,4.66750094e-01,4.77041344e-01
0.7700,4.58261632e-01,6.83532782e+00,6.83532782e+00,4.29847221e-01,6.41150483e+00,6.41150483e+00,1.00617886e-01,1.50079383e+00,1.50079383e+00,4.43827094e-01,4.63947273e-01,4.35180326e-01,4.49333646e-01
0.7800,4.41471139e-01,6.75812011e+00,6.75812011e+00,3.91421897e-01,5.99195725e+00,5.99195725e+00,1.01582514e-01,1.55504351e+00,1.55504351e+00,4.15693963e-01,4.47020490e-01,3.96342122e-01,4.20919291e-01
0.7900,4.25317458e-01,6.67992783e+00,6.67992783e+00,3.78495827e-01,5.94455920e+00,5.94455920e+00,1.02797529e-01,1.61451185e+00,1.61451185e+00,4.01224231e-01,4.30733170e-01,3.83315343e-01,4.06333155e-01
0.8000,4.08085709e-01,6.57363739e+00,6.57363739e+00,3.65982273e-01,5.89541536e+00,5.89541536e+00,1.01502662e-01,1.63505284e+00,1.63505284e+00,3.86461040e-01,4.13348627e-01,3.70702200e-01,3.91445074e-01
0.8100,4.13762751e-01,6.83385610e+00,6.83385610e+00,3.75436744e-01,6.20084982e+00,6.20084982e+00,9.93594151e-02,1.64105624e+00,1.64105624e+00,3.94134165e-01,4.19166456e-01,3.80339915e-01,3.99281523e-01
0.8200,4.19609208e-01,7.10374142e+00,7.10374142e+00,3.90378334e-01,6.60887961e+00,6.60887961e+00,9.44317253e-02,1.59867454e+00,1.59867454e+00,4.04729964e-01,4.25157818e-01,3.95540415e-01,4.10081821e-01
0.8300,4.19874712e-01,7.28383959e+00,7.28383959e+00,3.96105735e-01,6.87150369e+00,6.87150369e+00,8.77211379e-02,1.52175561e+00,1.52175561e+00,4.07817093e-01,4.25495447e-01,4.01408282e-01,4.13276416e-01
0.8400,4.11108711e-01,7.30583353e+00,7.30583353e+00,3.90666829e-01,6.94255981e+00,6.94255981e+00,8.17575352e-02,1.45291726e+00,1.45291726e+00,4.00757454e-01,4.16679303e-01,3.95960430e-01,4.06187784e-01
0.8500,4.01934200e-01,7.31505163e+00,7.31505163e+00,3.75954118e-01,6.84222388e+00,6.84222388e+00,7.74338757e-02,1.40926748e+00,1.40926748e+00,3.88727176e-01,4.07446202e-01,3.81109836e-01,3.94058061e-01
0.8600,3.90680846e-01,7.27970330e+00,7.27970330e+00,3.54604136e-01,6.60747238e+00,6.60747238e+00,7.28843549e-02,1.35808163e+00,1.35808163e+00,3.72205648e-01,3.96102429e-01,3.59525073e-01,3.77370845e-01
0.8700,3.75014757e-01,7.15239687e+00,7.15239687e+00,3.45773774e-01,6.59470384e+00,6.59470384e+00,6.86308476e-02,1.30894865e+00,1.30894865e+00,3.60097581e-01,3.80280300e-01,3.50628748e-01,3.65153674e-01
0.8800,3.55804300e-01,6.94402658e+00,6.94402658e+00,3.58980415e-01,7.00601298e+00,7.00601298e+00,6.47612806e-02,1.26390843e+00,1.26390843e+00,3.57388829e-01,3.60858351e-01,3.64079581e-01,3.62465387e-01
