T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.7500,2.38139627e-01,3.36882664e+00,3.36882664e+00,2.39589577e-01,3.38933827e+00,3.38933827e+00,1.14279227e-01,1.61664360e+00,1.61664360e+00,2.38863502e-01,2.41016550e-01,2.42484017e-01,2.41749170e-01
0.7600,2.30176639e-01,3.34412772e+00,3.34412772e+00,2.19482534e-01,3.18875813e+00,3.18875813e+00,1.22318168e-01,1.77710291e+00,1.77710291e+00,2.24765994e-01,2.32994893e-01,2.22169851e-01,2.27518001e-01
0.7700,2.18819492e-01,3.26386251e+00,3.26386251e+00,2.05285396e-01,3.06199096e+00,3.06199096e+00,1.27578215e-01,1.90292807e+00,1.90292807e+00,2.11944441e-01,2.21534380e-01,2.07832367e-01,2.14574031e-01
0.7800,2.02027524e-01,3.09267391e+00,3.09267391e+00,1.93868849e-01,2.96777943e+00,2.96777943e+00,1.27912850e-01,1.95811306e+00,1.95811306e+00,1.97906148e-01,2.04567037e-01,1.96305806e-01,2.00393855e-01
0.7900,1.84736127e-01,2.90141863e+00,2.90141863e+00,1.76884573e-01,2.77810412e+00,2.77810412e+00,1.23865133e-01,1.94539427e+00,1.94539427e+00,1.80767727e-01,1.87088435e-01,1.79136905e-01,1.83069504e-01
0.8000,1.80160229e-01,2.90210609e+00,2.90210609e+00,1.74333291e-01,2.80824302e+00,2.80824302e+00,1.17519352e-01,1.89305724e+00,1.89305724e+00,1.77222814e-01,1.82483684e-01,1.76581598e-01,1.79508386e-01
0.8100,1.74564546e-01,2.88317154e+00,2.88317154e+00,1.82686304e-01,3.01731345e+00,3.01731345e+00,1.10223863e-01,1.82049741e+00,1.82049741e+00,1.78579259e-01,1.76844344e-01,1.85072171e-01,1.80911488e-01
0.8200,1.67352932e-01,2.83318843e+00,2.83318843e+00,1.88157959e-01,3.18540552e+00,3.18540552e+00,1.06009008e-01,1.79467124e+00,1.79467124e+00,1.77450799e-01,1.69565886e-01,1.90646024e-01,1.79797280e-01
0.8300,1.59776156e-01,2.77174085e+00,2.77174085e+00,1.89713285e-01,3.29107970e+00,3.29107970e+00,1.01136591e-01,1.75448219e+00,1.75448219e+00,1.74102440e-01,1.61915031e-01,1.92252920e-01,1.76433096e-01
0.8400,1.56476647e-01,2.78075434e+00,2.78075434e+00,1.87579904e-01,3.33349189e+00,3.33349189e+00,9.54311522e-02,1.69591179e+00,1.69591179e+00,1.71323888e-01,1.58596932e-01,1.90121644e-01,1.73645355e-01
0.8500,1.52531477e-01,2.77601564e+00,2.77601564e+00,1.82915200e-01,3.32898801e+00,3.32898801e+00,8.92208267e-02,1.62378557e+00,1.62378557e+00,1.67033905e-01,1.54623246e-01,1.85423643e-01,1.69324557e-01
0.8600,1.47912215e-01,2.75610398e+00,2.75610398e+00,1.76670816e-01,3.29197382e+00,3.29197382e+00,8.30469587e-02,1.54744525e+00,1.54744525e+00,1.61653245e-01,1.49964832e-01,1.79122524e-01,1.63896550e-01
0.8700,1.42719875e-01,2.72199739e+00,2.72199739e+00,1.69228592e-01,3.22757979e+00,3.22757979e+00,7.87252356e-02,1.50147192e+00,1.50147192e+00,1.55410050e-01,1.44723790e-01,1.71604713e-01,1.57592146e-01
0.8800,1.36855664e-01,2.67093278e+00,2.67093278e+00,1.60985251e-01,3.14185596e+00,3.14185596e+00,7.51905251e-02,1.46744996e+00,1.46744996e+00,1.48430938e-01,1.38799641e-01,1.63271979e-01,1.50539337e-01
0.8900,1.30287828e-01,2.60129019e+00,2.60129019e+00,1.63893021e-01,3.27224203e+00,3.27224203e+00,7.21901592e-02,1.44132845e+00,1.44132845e+00,1.46127566e-01,1.32159844e-01,1.66247887e-01,1.48227173e-01
0.9000,1.23185202e-01,2.51546699e+00,2.51546699e+00,1.66458999e-01,3.39912678e+00,3.39912678e+00,6.96375161e-02,1.42201231e+00,1.42201231e+00,1.43196667e-01,1.24975342e-01,1.68877999e-01,1.45277616e-01
0.9100,1.16155891e-01,2.42532097e+00,2.42532097e+00,1.67325342e-01,3.49373291e+00,3.49373291e+00,6.73285946e-02,1.40581291e+00,1.40581291e+00,1.39412425e-01,1.17862912e-01,1.69784346e-01,1.41461222e-01
0.9200,1.10109650e-01,2.35026251e+00,2.35026251e+00,1.66447726e-01,3.55278443e+00,3.55278443e+00,6.55891999e-02,1.39998481e+00,1.39998481e+00,1.35379101e-01,1.11745861e-01,1.68921112e-01,1.37390812e-01
0.9300,1.05712069e-01,2.30608843e+00,2.30608843e+00,1.69665630e-01,3.70122308e+00,3.70122308e+00,6.44000404e-02,1.40487449e+00,1.40487449e+00,1.33924250e-01,1.07300264e-01,1.72214650e-01,1.35936299e-01
0.9400,1.02901908e-01,2.29369036e+00,2.29369036e+00,1.73804109e-01,3.87410511e+00,3.87410511e+00,6.33439083e-02,1.41193992e+00,1.41193992e+00,1.33733969e-01,1.04464760e-01,1.76443808e-01,1.35765091e-01
0.9500,1.01145005e-01,2.30312484e+00,2.30312484e+00,1.75696558e-01,4.00070281e+00,4.00070281e+00,6.19820972e-02,1.41136488e+00,1.41136488e+00,1.33307274e-01,1.02697766e-01,1.78393822e-01,1.35353785e-01
0.9600,1.00527428e-01,2.33788451e+00,2.33788451e+00,1.75177808e-01,4.07396758e+00,4.07396758e+00,6.00105524e-02,1.39561654e+00,1.39561654e+00,1.32703332e-01,1.02087206e-01,1.77895856e-01,1.34762349e-01
0.9700,1.01160133e-01,2.40225482e+00,2.40225482e+00,1.72419662e-01,4.09445848e+00,4.09445848e+00,5.74646183e-02,1.36461521e+00,1.36461521e+00,1.32068149e-01,1.02746334e-01,1.75123219e-01,1.34138990e-01
0.9800,1.01040406e-01,2.44953505e+00,2.44953505e+00,1.68077977e-01,4.07473516e+00,4.07473516e+00,5.45680883e-02,1.32290091e+00,1.32290091e+00,1.30317562e-01,1.02641322e-01,1.70741057e-01,1.32382354e-01
0.9900,9.98332809e-02,2.47031524e+00,2.47031524e+00,1.63118129e-01,4.03626122e+00,4.03626122e+00,5.16542348e-02,1.27815336e+00,1.27815336e+00,1.27611199e-01,1.01431470e-01,1.65729418e-01,1.29654072e-01
1.0000,9.72453584e-02,2.45553290e+00,2.45553290e+00,1.58499100e-01,4.00224507e+00,4.00224507e+00,4.90030506e-02,1.23737117e+00,1.23737117e+00,1.24150319e-01,9.88180972e-02,1.61062490e-01,1.26158189e-01
1.0100,9.44446921e-02,2.43314182e+00,2.43314182e+00,1.54676999e-01,3.98488328e+00,3.98488328e+00,4.67277913e-02,1.20382989e+00,1.20382989e+00,1.20865303e-01,9.59876601e-02,1.57203998e-01,1.22839912e-01
1.0200,9.66363366e-02,2.53955824e+00,2.53955824e+00,1.51501096e-01,3.98137874e+00,3.98137874e+00,4.47488557e-02,1.17597924e+00,1.17597924e+00,1.20997979e-01,9.82309994e-02,1.54001120e-01,1.22994650e-01
1.0300,9.81966012e-02,2.63183433e+00,2.63183433e+00,1.48498258e-01,3.98000347e+00,3.98000347e+00,4.28722477e-02,1.14904846e+00,1.14904846e+00,1.20756053e-01,9.98331622e-02,1.50973155e-01,1.22768593e-01
1.0400,9.80726315e-02,2.68023224e+00,2.68023224e+00,1.45230797e-01,3.96902029e+00,3.96902029e+00,4.15495684e-02,1.13551040e+00,1.13551040e+00,1.19344738e-01,9.97232623e-02,1.47675133e-01,1.21353393e-01
1.0500,9.65387837e-02,2.68972965e+00,2.68972965e+00,1.41527248e-01,3.94318243e+00,3.94318243e+00,4.06700714e-02,1.13313523e+00,1.13313523e+00,1.16888273e-01,9.81794875e-02,1.43932544e-01,1.18874822e-01
1.0600,9.42825439e-02,2.67757430e+00,2.67757430e+00,1.37375274e-01,3.90138502e+00,3.90138502e+00,3.95796689e-02,1.12404163e+00,1.12404163e+00,1.13807251e-01,9.59004247e-02,1.39732623e-01,1.15760174e-01
1.0700,9.58116224e-02,2.77303002e+00,2.77303002e+00,1.32987682e-01,3.84899895e+00,3.84899895e+00,3.83794313e-02,1.11079755e+00,1.11079755e+00,1.12879429e-01,9.74715213e-02,1.35291642e-01,1.14835021e-01
